Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Seasons,Seasons,Unnamed: 5_level_0,Regular Season,Regular Season,Regular Season
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,w/ Franch,Overall,Unnamed: 5_level_1,Current Season,Current Season,Current Season
Coach,Tm,Unnamed: 2_level_2,#,#,Unnamed: 5_level_2,G,W,L
Quin Snyder,ATL,,2,10,,76,36,40
Joe Mazzulla,BOS,,2,2,,76,60,16
Jacque Vaughn,BRK,,3,6,,54,21,33
Kevin Ollie,BRK,,1,1,,23,9,14
Billy Donovan,CHI,,4,9,,76,36,40
Steve Clifford,CHO,,7,10,,76,18,58
J.B. Bickerstaff,CLE,,5,8,,77,46,31
Jason Kidd,DAL,,3,8,,75,45,30
Michael Malone,DEN,,9,11,,76,53,23
Monty Williams,DET,,1,10,,76,13,63
Steve Kerr,GSW,,10,10,,75,41,34
Ime Udoka,HOU,,1,2,,75,38,37
Rick Carlisle,IND,,7,22,,77,43,34
Tyronn Lue,LAC,,4,8,,75,47,28
Darvin Ham,LAL,,2,2,,77,44,33
Taylor Jenkins,MEM,,5,5,,76,26,50
Erik Spoelstra,MIA,,16,16,,75,42,33
Adrian Griffin,MIL,,1,1,,43,30,13
Joe Prunty,MIL,,2,3,,3,2,1
Doc Rivers,MIL,,1,25,,30,15,15
Chris Finch,MIN,,4,4,,76,53,23
Willie Green,NOP,,3,3,,76,45,31
Tom Thibodeau,NYK,,4,12,,75,44,31
Mark Daigneault,OKC,,4,4,,76,52,24
Jamahl Mosley,ORL,,3,3,,76,45,31
Nick Nurse,PHI,,1,6,,76,41,35
Frank Vogel,PHO,,1,12,,76,45,31
Chauncey Billups,POR,,3,3,,76,20,56
Mike Brown,SAC,,2,10,,75,44,31
Gregg Popovich,SAS,,28,28,,76,18,58
Darko Rajakovic,TOR,,1,1,,76,23,53
Will Hardy,UTA,,2,2,,76,29,47
Wes Unseld,WAS,,3,3,,43,7,36
Brian Keefe,WAS,,1,1,,34,8,26
